X,Y,Z,TYPE,STREET1,STREET2,STREET3,STREET4,INTERSECTI,GID
426119.546,5451105.412,0,NORMAL,"1201","821",,,"8019","61029"
426124.867,5451199.818,0,NORMAL,"35","3",,,"8018","61030"
426076.325,5451134.903,0,NORMAL,"1201","3",,,"8017","61031"
426026.006,5451075.728,0,NORMAL,"1168","3",,,"8016","61032"
425866.905,5451098.213,0,NORMAL,"295","2",,,"8015","61033"
425913.869,5451161.226,0,NORMAL,"2","1168",,,"8014","61034"
425962.69,5451225.077,0,NORMAL,"2","1201",,,"8013","61035"
425883.661,5451283.613,0,NORMAL,"1201","1",,,"8012","61036"
425833.128,5451222.089,0,NORMAL,"1168","1",,,"8011","61037"
425785.149,5451159.07,0,NORMAL,"295","1",,,"8010","61038"
424766.987,5450850.098,0,DEADEND,"835",,,,"8007","61040"
424307.082,5451374.111,0,DEADEND,"127",,,,"8005","61041"
425271.789,5451408.645,0,NORMAL,"569","1238",,,"8003","61043"
425096.522,5451213.92,0,DEADEND,"74",,,,"8001","61045"
425017.674,5451280.816,0,NORMAL,"74","205","661",,"8000","61046"
425042.545,5451371.694,0,DEADEND,"205",,,,"7999","61047"
424850.559,5451378.324,0,NORMAL,"591","661",,,"7998","61048"
424546.754947262,5452027.443779,0,NORMAL,"1044","1153",,,"7988","61056"
425200.315,5452405.54,0,NORMAL,"1154","898",,,"7985","61057"
423689.165,5451874.265,0,NORMAL,"744","277",,,"7982","61060"
423726.902,5451983.255,0,NORMAL,"744","61",,,"7981","61061"
423842.809,5452224.852,0,DEADEND,"785",,,,"7979","61063"
424237.463614263,5452172.78023935,0,NORMAL,"105","824",,,"7971","61067"
424017.969,5452175.738,0,NORMAL,"255","824",,,"7970","61068"
423735.23,5452496.218,0,NORMAL,"461","929",,,"7968","61070"
423779.575,5452173.262,0,NORMAL,"744","242",,,"7966","61072"
423840.887,5452174.889,0,NORMAL,"785","242",,,"7965","61073"
423870.093,5451976.356,0,NORMAL,"61","277",,,"7964","61074"
424233.081,5451665.303,0,NORMAL,"992",,,,"7958","61077"
424272.038,5451553.563,0,DEADEND,"216",,,,"7955","61079"
424266.68,5451442.939,0,DEADEND,"936",,,,"7954","61080"
424355.569667867,5451433.34987798,0,NORMAL,"1005","936",,,"7953","61081"
424404.242,5451523.152,0,NORMAL,"718","1005",,,"7952","61082"
424559.145,5451491.61,0,NORMAL,"718","1005",,,"7950","61084"
424386.774,5451559.288,0,NORMAL,"718","216",,,"7949","61085"
424468.645,5451502.367,0,NORMAL,"718","597",,,"7947","61087"
424440.528461602,5451668.14653417,0,NORMAL,"597","718",,,"7946","61088"
424413.688,5451622.66,0,NORMAL,"718","992",,,"7945","61089"
424309.801,5451872.721,0,NORMAL,"1106","177",,,"7942","61091"
424410.716,5451756.912,0,NORMAL,"177","369",,,"7941","61092"
424446.791,5451755.266,0,NORMAL,"369","718",,,"7940","61093"
424386.784,5451966.895,0,NORMAL,"1023","1106",,,"7937","61096"
424315.693,5452046.651,0,NORMAL,"479","1023",,,"7936","61097"
424515.553,5452149.647,0,NORMAL,"741","479",,,"7935","61098"
424511.949,5452048.288,0,DEADEND,"1153",,,,"7934","61099"
424407.369,5452364.155,0,DEADEND,"1143",,,,"7929","61103"
424598.405,5452093.609,0,NORMAL,"741","1044",,,"7924","61106"
424940.135,5451881.497,0,NORMAL,"741","1044",,,"7923","61107"
424691.159,5452403.918,0,NORMAL,"569","837",,,"7920","61110"
426740.845,5451614.174,0,DEADEND,"313",,,,"7919","61111"
425479.564,5451867.78,0,DEADEND,"232",,,,"7916","61113"
425362.791,5452126.943,0,DEADEND,"1046",,,,"7915","61114"
425452.995,5452180.402,0,DEADEND,"523",,,,"7914","61115"
425045.803,5452991.869,0,DEADEND,"672",,,,"7913","61116"
425051.407,5452964.98,0,DEADEND,"727",,,,"7912","61117"
426400.16,5452601.66,0,DEADEND,"1125",,,,"7911","61118"
426407.645,5452723.64,0,DEADEND,"157",,,,"7908","61120"
426250.12,5452772.224,0,DEADEND,"478",,,,"7906","61122"
426248.105,5452727.198,0,NORMAL,"478","276",,,"7905","61123"
426084.999,5452693.237,0,NORMAL,"408","276",,,"7904","61124"
425704.453,5452717.802,0,DEADEND,"40",,,,"7903","61125"
425760.82,5452689.273,0,NORMAL,"408","40",,,"7902","61126"
426744.587,5452091.608,0,NORMAL,"541","298",,,"7899","61128"
426802.85,5451970.107,0,NORMAL,"1154","1091",,,"7898","61129"
426633.669,5451906.778,0,DEADEND,"1091",,,,"7897","61130"
426444.736,5452455.506,0,DEADEND,"164",,,,"7896","61131"
426231.989,5452501.547,0,NORMAL,"164","408",,,"7895","61132"
426040.981,5452475.564,0,DEADEND,"412",,,,"7894","61133"
426037.104,5452518.229,0,NORMAL,"164","412",,,"7893","61134"
425822.424,5452612.186,0,DEADEND,"173",,,,"7892","61135"
425704.247,5452616.613,0,NORMAL,"408","166","173",,"7891","61136"
425555.764,5452622.027,0,DEADEND,"166",,,,"7890","61137"
425573.274,5452452.651,0,DEADEND,"48",,,,"7889","61138"
425452.787,5452338.606,0,DEADEND,"922",,,,"7888","61139"
425460.87,5452431.74,0,DEADEND,"561",,,,"7887","61140"
425408.071,5452424.166,0,NORMAL,"922","561",,,"7886","61141"
425324.481,5452366.042,0,DEADEND,"931",,,,"7885","61142"
425330.494,5452427.717,0,DEADEND,"931",,,,"7884","61143"
425224.436,5452449.664,0,NORMAL,"898",,,,"7883","61144"
425329.121,5452403.967,0,NORMAL,"931","898",,,"7882","61145"
425357.885,5452315.148,0,NORMAL,"1154","1046",,,"7881","61146"
425360.888955713,5452251.39596645,0,NORMAL,"1046","523",,,"7880","61147"
425424.022,5451941.517,0,NORMAL,"968","232",,,"7879","61148"
429236.566,5451468.386,0,NORMAL,"949","584",,,"8539","61151"
430000.197,5452535.39,0,DEADEND,"90",,,,"8536","61154"
430065.527405316,5452258.9541091,0,DEADEND,"671",,,,"8534","61156"
430506.912,5452144.002,0,NORMAL,"508","671",,,"8533","61157"
430613.225,5452362.823,0,NORMAL,"474","462",,,"8531","61159"
430522.294,5452469.309,0,NORMAL,"474","990",,,"8529","61160"
430736.542,5452163.979,0,NORMAL,"629","733",,,"8521","61165"
430735.147,5452080.159,0,DEADEND,"733",,,,"8520","61166"
430836.058,5452160.621,0,NORMAL,"629","843",,,"8519","61167"
430833.947,5451918.324,0,DEADEND,"843",,,,"8518","61168"
430904.971,5451703.5,0,NORMAL,"495","117",,,"8516","61169"
430937.267,5451735.799,0,DEADEND,"117",,,,"8515","61170"
430755.496,5451762.053,0,DEADEND,"1225",,,,"8514","61171"
430784.838,5451737.906,0,NORMAL,"1195","1225",,,"8513","61172"
430765.552,5451562.336,0,DEADEND,"291",,,,"8512","61173"
430915.224,5451563.202,0,DEADEND,"1136",,,,"8511","61174"
430850.804,5451566.596,0,NORMAL,"1136","1195","291",,"8510","61175"
430434.618,5448736.372,0,NORMAL,"154","249",,,"8571","61649"
430582.981,5448731.959,0,NORMAL,"249","901",,,"8570","61650"
430759.225,5448726.814,0,NORMAL,"1076","249",,,"8569","61651"
430791.664,5448689.627,0,NORMAL,"1076","702",,,"8568","61652"
430710.25,5448681.496,0,NORMAL,"702","92",,,"8567","61653"
430581.152,5448684.247,0,NORMAL,"702","901",,,"8566","61654"
430432.537,5448688.401,0,NORMAL,"154","702",,,"8565","61655"
430196.76,5448690.105,0,NORMAL,"702","401",,,"8564","61656"
430110.299,5448593.438,0,NORMAL,"1112","888",,,"8563","61657"
430275.652,5448596.446,0,NORMAL,"888","401",,,"8562","61658"
430429.686,5448590.296,0,NORMAL,"154","888",,,"8561","61659"
430577.007,5448587.193,0,NORMAL,"901","888",,,"8560","61660"
430572.98,5448484.507,0,NORMAL,"652","901",,,"8559","61661"
430426.783,5448488.246,0,NORMAL,"154","652",,,"8558","61662"
430412.447,5448475.796,0,NORMAL,"401","652",,,"8557","61663"
430567.566,5448327.127,0,NORMAL,"401","901",,,"8556","61664"
430569.408,5448384.234,0,NORMAL,"1236","901",,,"8555","61665"
430698.42,5448381.106,0,NORMAL,"1236","92",,,"8554","61666"
430703.316,5448481.572,0,NORMAL,"652","92",,,"8553","61667"
430705.902,5448581.889,0,NORMAL,"92","888",,,"8552","61668"
430851.036,5448575.932,0,NORMAL,"888","343",,,"8551","61669"
430848.914,5448475.14,0,NORMAL,"343","652",,,"8550","61670"
430984.366,5448182.124,0,NORMAL,"596","1160",,,"8549","61671"
430840.354,5448277.063,0,NORMAL,"530","343",,,"8548","61672"
430780.827,5448279.937,0,NORMAL,"398","530",,,"8547","61673"
430695.142,5448281.362,0,NORMAL,"92","530",,,"8546","61674"
430566.879,5448286.803,0,NORMAL,"901","530",,,"8545","61675"
428833.101,5454291.366,0,DEADEND,"1028",,,,"9048","61686"
428927.358,5454100.342,0,DEADEND,"425",,,,"9047","61687"
428869.355,5454176.959,0,NORMAL,"425","1028",,,"9046","61688"
428701.046,5454278.916,0,NORMAL,"425","428",,,"9045","61689"
428608.821,5454420.046,0,DEADEND,"1241",,,,"9044","61690"
428547.81754307,5454408.43824039,0,NORMAL,"425","1241",,,"9043","61691"
428287.466,5454367.291,0,DEADEND,"66",,,,"9041","61692"
428255.532,5454416.427,0,NORMAL,"66","425",,,"9039","61693"
427646.06,5454318.899,0,NORMAL,"217","397",,,"9038","61694"
427636.753,5453922.209,0,NORMAL,"508","397",,,"9037","61695"
428373.34,5453728.287,0,DEADEND,"975",,,,"9034","61697"
