angle=Azimuth
heading=Coordinate_System
dist_units=Default
startAt=14.7211;60.4573;90
survey=Polygonal
[data]
-79.1042;0.00314775;90
-72.1423;0.00125549;90
5.57864;0.000648069;90
-81.1339;0.00170639;90
21.0045;0.000747682;90
27.8539;0.000755535;90
-72.1166;0.00111697;90
32.7961;0.000622172;90
159.207;0.000791556;90
102.185;0.00225991;90
106.259;0.00190728;90
100.315;0.00242926;90
101.184;0.00348009;90
103.717;0.00395994;90
101.199;0.00292469;90
-124.456;0.000788299;90
137.917;0.000931052;90
-84.9803;0.0021372;90
-81.1081;0.00298892;90
-82.4199;0.00285797;90
-83.1933;0.00290246;90
-78.8767;0.00264876;90
-82.8639;0.00257595;90
-89.9213;0.002911;90
-80.4905;0.00279643;90
6.23855;0.00105827;90
104.764;0.0062276;90
97.8518;0.00259129;90
101.177;0.00303353;90
94.4634;0.00332809;90
100.552;0.00324895;90
97.4231;0.00295678;90
62.0429;0.000846825;90
-69.0668;0.000906854;90
-174.008;0.000708873;90
-93.201;0.00225652;90
-164.488;0.00127131;90
-110.545;0.001761;90
-79.8793;0.00453557;90
-85.1728;0.00344622;90
-82.6578;0.00343517;90
-82.8574;0.00322503;90
-84.8842;0.00290457;90
-83.8128;0.003433;90
-82.3808;0.00385403;90
-81.4493;0.0035444;90
-76.2762;0.00266817;90
-79.1617;0.00233465;90
-77.8133;0.0030886;90
-42.2102;0.00169978;90
-53.0528;0.0016304;90
-64.4301;0.000901271;90
109.298;0.00724718;90
99.7329;0.000905027;90
94.9697;0.000923472;90
96.0892;0.00108412;90
101.906;0.000998481;90
104.621;0.00090325;90
105.809;0.00098007;90
103.311;0.00172432;90
100.22;0.000969381;90
100.507;0.00177679;90
96.1291;0.00089914;90
94.0813;0.000955423;90
93.9059;0.000954216;90
88.8569;0.00170434;90
87.318;0.000983077;90
89.2428;0.000908079;90
92.1484;0.000933656;90
94.4009;0.00198084;90
92.1115;0.0017642;90
94.6649;0.00183207;90
97.1483;0.000916121;90
94.9254;0.00173541;90
100.266;0.00199189;90
99.9183;0.000888276;90
102.271;0.00181139;90
103.471;0.000884328;90
98.3082;0.0018201;90
96.9811;0.00197464;90
94.7249;0.000983342;90
94.2882;0.00147112;90
89.6516;0.00115102;90
87.6627;0.00102986;90
89.3784;0.00110607;90
92.7846;0.00102922;90
87.5382;0.00116407;90
89.3595;0.000984061;90
90.624;0.00101006;90
94.3629;0.0011042;90
88.7428;0.00104825;90
92.1568;0.00100972;90
90.7237;0.000950076;90
98.3365;0.00102079;90
102.928;0.00155543;90
105.155;0.00150328;90
107.853;0.000808952;90
106.915;0.0009177;90
116.038;0.00131218;90
117.791;0.0013169;90
114.877;0.000789227;90
112.358;0.00084124;90
110.018;0.000835477;90
105.573;0.000994511;90
98.3571;0.00189209;90
99.0085;0.000996289;90
83.6535;0.00199925;90
77.2532;0.000883781;90
66.7925;0.000839967;90
21.9385;0.000543346;90
-13.9317;0.000797458;90
-143.817;0.00370447;90
-84.019;0.00149715;90
-80.2276;0.00154948;90
-82.9346;0.00143087;90
-64.2352;0.00118478;90
-62.9599;0.00113283;90
-74.1216;0.00164476;90
-70.0655;0.0012084;90
-77.7129;0.0102344;90
-87.3644;0.00165275;90
-89.5604;0.00156405;90
-92.6211;0.00168376;90
-88.4617;0.00156456;90
-83.9406;0.00166732;90
-86.2796;0.00158735;90
-81.7064;0.0129848;90
-83.36;0.00158262;90
-86.879;0.000918362;90
-92.1468;0.00173522;90
-87.2753;0.0016829;90
-99.0617;0.00150478;90
-92.1172;0.00165113;90
-86.9039;0.00148116;90
-76.7924;0.00399158;90
-77.3079;0.00334985;90
-76.8545;0.00421238;90
-86.4904;0.00192762;90
-76.2114;0.00134681;90
-59.8191;0.00109203;90
-58.7961;0.001023;90
117.895;0.00472161;90
101.616;0.00257269;90
100.478;0.00673632;90
96.2013;0.00469346;90
95.5685;0.00409131;90
95.2889;0.00367766;90
100.939;0.00197081;90
95.4253;0.00379701;90
101.355;0.0034689;90
93.9425;0.00293795;90
45;0.000858428;90
15.7727;0.0011846;90
-60.0271;0.00152725;90
-81.2489;0.00353617;90
-83.6247;0.00378239;90
-79.7594;0.00366742;90
-87.9389;0.00392054;90
-80.3942;0.00308627;90
32.3666;0.000840595;90
47.256;0.00449078;90
105.047;0.00147145;90
101.394;0.00496076;90
101.173;0.00539831;90
93.6689;0.00648529;90
85.6395;0.0066683;90
84.0053;0.00606114;90
83.1948;0.00659949;90
77.1727;0.00628792;90
68.431;0.00599801;90
57.0998;0.00504992;90
40.8926;0.00450169;90
18.4249;0.00361006;90
21.8821;0.003692;90
28.5461;0.00376466;90
25.2996;0.00362466;90
29.7717;0.00398152;90
32.7614;0.00367925;90
46.5349;0.00131993;90
55.9179;0.000851207;90
49.7007;0.00277838;90
-0.553374;0.00289914;90
-15.2457;0.00319442;90
25.5779;0.00301109;90
64.1495;0.0043392;90
59.1233;0.00372375;90
70.5428;0.00388168;90
79.2967;0.00450131;90
82.8531;0.00422785;90
87.3518;0.00313835;90
91.7753;0.00748859;90
95.6952;0.00554236;90
96.477;0.00577989;90
96.6202;0.00612383;90
95.2598;0.00515973;90
91.5881;0.00689165;90
80.0389;0.00630708;90
72.8414;0.00565049;90
75.6502;0.00545107;90
98.4284;0.00567631;90
112.631;0.00550162;90
100.038;0.00601813;90
96.8266;0.00507297;90
108.117;0.00728727;90
104.937;0.00611047;90
102.178;0.00647571;90
106.226;0.00608748;90
101.184;0.00660952;90
109.122;0.00546133;90
101.612;0.005912;90
81.8641;0.00558218;90
59.8858;0.00423339;90
53.6604;0.00423578;90
59.8115;0.00461373;90
81.2796;0.00643742;90
83.1422;0.00635648;90
74.8559;0.005068;90
61.841;0.0027653;90
61.5263;0.00354479;90
61.6802;0.0046881;90
61.2101;0.0048152;90
60.5259;0.00490823;90
62.197;0.00552706;90
75.2769;0.00669689;90
83.4355;0.00677039;90
81.9172;0.00667834;90
75.1779;0.00664925;90
69.1302;0.00615587;90
68.4681;0.00604055;90
67.979;0.00596086;90
74.8071;0.00605565;90
85.7455;0.00642972;90
79.6934;0.00601404;90
65.2761;0.00547046;90
64.5547;0.00546957;90
63.4103;0.0052078;90
53.7877;0.00496633;90
69.1716;0.00615632;90
74.4646;0.00623894;90
73.8953;0.00617534;90
74.8936;0.00483094;90
58.993;0.00136273;90
38.5626;0.002302;90
-10.7983;0.00248195;90
-25.7244;0.00304809;90
20.2725;0.00243589;90
44.3932;0.00226994;90
49.4133;0.00169998;90
63.5632;0.00319624;90
49.1884;0.00283671;90
-31.4595;0.000634226;90
-25.2544;0.00160323;90
-24.681;0.0020404;90
-50.1917;0.00268032;90
-55.534;0.00270358;90
-51.5855;0.00306431;90
-52.5329;0.00316617;90
-52.0675;0.0034942;90
-52.4266;0.00361607;90
-39.465;0.003123;90
-61.9889;0.00340259;90
-60.381;0.00248467;90
32.6282;0.000643563;90
32.1012;0.000950289;90
28.393;0.00084119;90
1.62306;0.00084734;90
-16.43;0.000958124;90
-17.2943;0.000571853;90
173.055;0.000554066;90
87.0997;0.00377484;90
87.2527;0.00246183;90
98.4682;0.00289961;90
100.485;0.00303874;90
82.5962;0.00313514;90
93.7195;0.00104821;90
116.623;0.00309964;90
114.904;0.00410357;90
115.4;0.00446456;90
109.926;0.00494716;90
105.838;0.00547795;90
104.409;0.00562598;90
101.044;0.00577902;90
120.296;0.00461877;90
153.802;0.00356302;90
155.839;0.00362562;90
155.217;0.00342329;90
144.626;0.00338735;90
136.005;0.0032249;90
128.833;0.00216567;90
95.9215;0.0014055;90
102.275;0.00222486;90
107.061;0.00171445;90
104.594;0.00154381;90
101.54;0.00263425;90
98.9562;0.00325671;90
120.796;0.00246685;90
101.634;0.00225125;90
-155.326;0.00170794;90
-73.2697;0.00300834;90
-72.5153;0.00520551;90
-68.2057;0.00446839;90
-69.998;0.00311063;90
-88.9182;0.00121822;90
-104.358;0.00241545;90
-108.713;0.00280529;90
-107.316;0.00320526;90
-107.303;0.00334539;90
-108.835;0.00208146;90
137.697;0.00142782;90
122.992;0.00193383;90
71.4793;0.00253425;90
112.009;0.00143562;90
135.613;0.00152107;90
